State,Representative,Party,PctPro_2020,PctPro_Lifetime
Colorado,Tipton,R,10,7
Colorado,Buck,R,0,3
Colorado,Lamborn,R,5,3
Colorado,Crow,D,100,98
Colorado,Perlmutter,D,100,87
Connecticut,Larson,D,100,93
Connecticut,Courtney,D,100,96
Connecticut,DeLauro,D,100,95
Connecticut,Himes,D,100,95
Connecticut,Hayes,D,100,98
Delaware,Blunt Rochester,D,95,96
DC,Norton,D,100,100
Florida,Gaetz,R,10,12
Florida,Dunn,R,5,4
Florida,Yoho,R,0,2
Florida,Rutherford,R,14,9
Florida,Lawson,D,100,87
Florida,Waltz,R,14,26
Florida,Murphy,D,95,91
Florida,Posey,R,19,6
Florida,Soto,D,100,99
Florida,Demings,D,100,97
Florida,Webster,R,10,6
Florida,Bilirakis,R,19,10
Florida,Crist,D,100,93
Florida,Castor,D,100,93
Florida,Spano,R,5,8
Florida,Buchanan,R,33,23
Florida,Steube,R,0,4
Florida,Mast,R,29,29
Florida,Rooney,R,19,23
Florida,Hastings,D,100,85
Florida,Frankel,D,100,98
Florida,Deutch,D,100,92
Florida,Wasserman Schultz,D,100,93
Florida,Wilson,D,95,91
Florida,Diaz-Balart,R,29,13
Florida,Mucarsel-Powell,D,100,98
Florida,Shalala,D,100,98
Georgia,Carter,R,14,4
Georgia,Bishop,D,100,55
Georgia,Ferguson,R,10,5
Georgia,Johnson,D,100,96
Georgia,Lewis,D,100,93
Georgia,McBath,D,95,96
Georgia,Woodall,R,5,4
Georgia,Scott,R,10,3
Georgia,Collins,R,10,4
Georgia,Hice,R,0,0
Georgia,Loudermilk,R,0,1
Georgia,Allen,R,0,1
Georgia,Scott,D,100,84
Georgia,Graves,R,5,3
Georgia,Hall,D,100,100
Guam,San Nicolas,D,100,93
Hawaii,Case,D,100,95
Hawaii,Gabbard,D,76,92
Idaho,Fulcher,R,5,4
Idaho,Simpson,R,19,9
Illinois,Rush,D,100,81
Illinois,Kelly,D,100,95
Illinois,Lipinski,D,90,91
Illinois,Garcia,D,100,100
Illinois,Quigley,D,100,98
Illinois,Casten,D,100,98
Illinois,Davis,D,100,93
Illinois,Krishnamoorthi,D,100,98
Illinois,Schakowsky,D,95,98
Illinois,Schneider,D,100,95
Illinois,Foster,D,100,94
Illinois,Bost,R,24,7
Illinois,Davis,R,38,10
Illinois,Underwood,D,100,98
Illinois,Shimkus,R,14,6
Illinois,Kinzinger,R,29,8
Illinois,Bustos,D,100,90
Illinois,LaHood,R,14,3
Indiana,Visclosky,D,95,83
Indiana,Walorski,R,14,4
Indiana,Banks,R,5,4
Indiana,Baird,R,5,4
Indiana,Brooks,R,24,8
Indiana,Pence,R,10,10
Indiana,Carson,D,100,93
Indiana,Bucshon,R,14,6
Indiana,Hollingsworth,R,10,15
Iowa,Finkenauer,D,95,94
Iowa,Loebsack,D,100,91
Iowa,Axne,D,95,94
Iowa,King,R,5,4
Kansas,Marshall,R,5,6
Kansas,Watkins,R,5,8
Kansas,Davids,D,90,94
Kansas,Estes,R,0,4
Kentucky,Comer,R,10,5
Kentucky,Guthrie,R,14,5
Kentucky,Yarmuth,D,100,94
Kentucky,Massie,R,0,10
Kentucky,Rogers,R,10,8
Kentucky,Barr,R,10,3
Louisiana,Scalise,R,14,4
Louisiana,Richmond,D,95,77
Louisiana,Higgins,R,10,3
Louisiana,Johnson,R,0,3
Louisiana,Abraham,R,5,2
Louisiana,Graves,R,5,5
Maine,Pingree,D,100,96
Maine,Golden,D,95,96
Maryland,Harris,R,0,3
Maryland,Ruppersberger,D,100,89
Maryland,Sarbanes,D,100,96
Maryland,Brown,D,95,93
Maryland,Hoyer,D,100,82
Maryland,Trone,D,100,98
Maryland,Mfume,D,100,86
Maryland,Raskin,D,100,99
Massachusetts,Neal,D,100,93
Massachusetts,McGovern,D,100,99
Massachusetts,Trahan,D,95,96
Massachusetts,Kennedy,D,100,96
Massachusetts,Clark,D,100,96
Massachusetts,Moulton,D,100,96
Massachusetts,Pressley,D,100,98
Massachusetts,Lynch,D,100,95
Massachusetts,Keating,D,95,96
Michigan,Bergman,R,14,11
Michigan,Huizenga,R,29,5
Michigan,Amash,R,14,18
Michigan,Moolenaar,R,19,7
Michigan,Kildee,D,100,96
Michigan,Upton,R,62,28
Michigan,Walberg,R,5,4
Michigan,Slotkin,D,95,96
Michigan,Levin,D,100,100
Michigan,Mitchell,R,14,6
Michigan,Stevens,D,100,96
Michigan,Dingell,D,100,97
Michigan,Tlaib,D,95,96
Michigan,Lawrence,D,100,96
Minnesota,Hagedorn,R,5,6
Minnesota,Craig,D,100,98
Minnesota,Phillips,D,100,98
Minnesota,McCollum,D,100,94
Minnesota,Omar,D,95,96
Minnesota,Emmer,R,10,3
Minnesota,Peterson,D,76,34
Minnesota,Stauber,R,29,16
Mississippi,Kelly,R,5,2
Mississippi,Thompson,D,100,83
Mississippi,Guest,R,10,10
Mississippi,Palazzo,R,10,3
Missouri,Clay,D,95,90
Missouri,Wagner,R,24,4
Missouri,Luetkemeyer,R,5,3
Missouri,Hartzler,R,10,3
Missouri,Cleaver,D,86,89
Missouri,Graves,R,14,4
Missouri,Long,R,10,3
Missouri,Smith,R,5,1
Montana,Gianforte,R,19,7
Nebraska,Fortenberry,R,43,21
Nebraska,Bacon,R,24,16
Nebraska,Smith,R,5,4
Nevada,Titus,D,100,95
Nevada,Amodei,R,24,7
Nevada,Lee,D,95,96
Nevada,Horsford,D,100,84
New Hampshire,Pappas,D,100,98
New Hampshire,Kuster,D,100,95
New Jersey,Norcross,D,100,93
New Jersey,Van Drew,R,67,82
New Jersey,Kim,D,100,98
New Jersey,Smith,R,81,62
New Jersey,Gottheimer,D,100,88
New Jersey,Pallone,D,100,96
New Jersey,Malinowski,D,100,98
New Jersey,Sires,D,100,91
New Jersey,Pascrell,D,100,94
New Jersey,Payne,D,86,91
New Jersey,Sherrill,D,100,96
New Jersey,Watson Coleman,D,100,97
New Mexico,Haaland,D,100,98
New York,Nadler,D,100,97
New York,Rose,D,100,96
New York,Maloney,D,100,96
New York,Espaillat,D,100,99
New York,Ocasio-Cortez,D,95,96
New York,Serrano,D,86,93
New York,Engel,D,100,94
New York,Lowey,D,100,94
New York,Maloney,D,100,90
New York,Delgado,D,100,98
New York,Tonko,D,100,97
New York,Stefanik,R,48,38
New York,Brindisi,D,100,98
New York,Reed,R,48,13
New York,Katko,R,62,34
New York,Morelle,D,90,94
New York,Higgins,D,100,95
New York,Jacobs,R,33,33
North Carolina,Butterfield,D,100,90
North Carolina,Holding,R,10,2
North Carolina,Murphy,R,10,11
North Carolina,Price,D,100,92
North Carolina,Foxx,R,10,4
North Carolina,Walker,R,5,1
North Carolina,Rouzer,R,14,4
North Carolina,Hudson,R,5,2
North Carolina,Bishop,R,0,0
North Carolina,McHenry,R,14,5
North Carolina,Meadows,R,17,2
North Carolina,Adams,D,95,97
North Carolina,Budd,R,10,4
North Dakota,Armstrong,R,0,6
Northern Mariana Islands,Sablan,D,100,100
Ohio,Chabot,R,14,12
Ohio,Wenstrup,R,5,2
Ohio,Beatty,D,95,95
Ohio,Jordan,R,5,3
Ohio,Latta,R,10,3
Ohio,Johnson,R,14,4
Ohio,Gibbs,R,19,4
Ohio,Davidson,R,10,3
Ohio,Kaptur,D,90,84
Ohio,Turner,R,33,10
Ohio,Fudge,D,90,93
Ohio,Balderson,R,24,11
Ohio,Ryan,D,100,91
Ohio,Joyce,R,33,12
Ohio,Stivers,R,33,8
Ohio,Gonzalez,R,29,24
Oklahoma,Hern,R,0,2
Oklahoma,Mullin,R,5,1
Oklahoma,Lucas,R,10,5
Oklahoma,Cole,R,10,7
Oklahoma,Horn,D,90,92
Oregon,Bonamici,D,100,98
Oregon,Walden,R,19,10
Oregon,Blumenauer,D,100,96
Oregon,DeFazio,D,100,92
Oregon,Schrader,D,86,73
Pennsylvania,Fitzpatrick,R,84,81
Pennsylvania,Boyle,D,100,97
Pennsylvania,Evans,D,100,96
Pennsylvania,Dean,D,100,98
Pennsylvania,Scanlon,D,100,98
Pennsylvania,Houlahan,D,100,98
Pennsylvania,Wild,D,95,96
Pennsylvania,Cartwright,D,100,96
Pennsylvania,Meuser,R,10,8
Pennsylvania,Perry,R,5,3
Pennsylvania,Smucker,R,14,6
Pennsylvania,Keller,R,5,5
Pennsylvania,Joyce,R,10,6
Pennsylvania,Reschenthaler,R,14,10
Pennsylvania,Thompson,R,10,5
Pennsylvania,Kelly,R,19,5
Pennsylvania,Lamb,D,95,88
Pennsylvania,Doyle,D,95,80
Puerto Rico,Gonzalez-Colon,R,0,14
Rhode Island,Cicilline,D,100,98
Rhode Island,Langevin,D,100,96
South Carolina,Cunningham,D,90,92
South Carolina,Wilson,R,10,3
South Carolina,Duncan,R,5,3
South Carolina,Timmons,R,8,10
South Carolina,Norman,R,0,2
South Carolina,Clyburn,D,100,85
South Carolina,Rice,R,5,2
South Dakota,Johnson,R,10,8
Tennessee,Roe,R,14,4
Tennessee,Burchett,R,10,10
Tennessee,Fleischmann,R,10,4
Tennessee,DesJarlais,R,10,2
Tennessee,Cooper,D,100,83
Tennessee,Rose,R,10,6
Tennessee,Green,R,5,2
Tennessee,Kustoff,R,10,4
Tennessee,Cohen,D,100,97
Texas,Gohmert,R,5,4
Texas,Crenshaw,R,19,14
Texas,Taylor,R,14,10
Texas,Ratcliffe,R,14,2
Texas,Gooden,R,0,4
Texas,Wright,R,0,4
Texas,Fletcher,D,100,88
Texas,Brady,R,5,3
Texas,Green,D,100,87
Texas,McCaul,R,33,8
Texas,Conaway,R,0,2
Texas,Granger,R,14,6
Texas,Thornberry,R,5,2
Texas,Weber,R,0,2
Texas,Gonzalez,D,95,80
Texas,Escobar,D,95,96
Texas,Flores,R,5,3
Texas,Jackson Lee,D,100,83
Texas,Arrington,R,0,2
Texas,Castro,D,100,96
Texas,Roy,R,0,0
Texas,Olson,R,10,2
Texas,Hurd,R,43,13
Texas,Marchant,R,0,3
Texas,Williams,R,10,2
Texas,Burgess,R,10,3
Texas,Cloud,R,0,0
Texas,Cuellar,D,90,47
Texas,Garcia,D,100,94
Texas,Johnson,D,95,87
Texas,Carter,R,10,4
Texas,Allred,D,100,96
Texas,Veasey,D,100,90
Texas,Vela,D,100,77
Texas,Doggett,D,100,97
Texas,Babin,R,0,2
Utah,Bishop,R,10,3
Utah,Stewart,R,14,4
Utah,Curtis,R,5,2
Utah,McAdams,D,76,82
Vermont,Welch,D,100,95
Virgin Islands,Plaskett,D,100,79
Virginia,Wittman,R,19,10
Virginia,Luria,D,95,96
Virginia,Scott,D,100,92
Virginia,McEachin,D,100,92
Virginia,Riggleman,R,5,12
Virginia,Cline,R,0,0
Virginia,Spanberger,D,95,96
Virginia,Beyer,D,100,96
Virginia,Griffith,R,14,6
Virginia,Wexton,D,100,98
Virginia,Connolly,D,100,97
Washington,Delbene,D,100,95
Washington,Larsen,D,100,92
Washington,Herrera-Beutler,R,33,12
Washington,Newhouse,R,14,5
Washington,McMorris Rodgers,R,14,4
Washington,Kilmer,D,100,95
Washington,Jayapal,D,95,97
Washington,Schrier,D,100,98
Washington,Smith,D,100,91
Washington,Heck,D,100,96
West Virgina,McKinley,R,29,8
West Virgina,Mooney,R,10,3
West Virgina,Miller,R,19,12
Wisconsin,Steil,R,19,20
Wisconsin,Pocan,D,100,97
Wisconsin,Kind,D,90,90
Wisconsin,Moore,D,100,94
Wisconsin,Sensenbrenner,R,5,24
Wisconsin,Grothman,R,5,3
Wisconsin,Tiffany,R,0,0
Wisconsin,Gallagher,R,19,8
Wyoming,Cheney,R,5,2
